Date,FX,BOE_FX
06/01/2017,1.0589,1.0574
07/01/2017,1.0589,1.0574
08/01/2017,1.0589,1.0574
09/01/2017,1.0516,1.0555
10/01/2017,1.0567,1.0595
11/01/2017,1.0503,1.0474
12/01/2017,1.0679,1.0653
13/01/2017,1.0661,1.0624
14/01/2017,1.0661,1.0624
15/01/2017,1.0661,1.0624
16/01/2017,1.0594,1.0607
17/01/2017,1.0684,1.0692
18/01/2017,1.0664,1.0693
19/01/2017,1.0668,1.061
20/01/2017,1.0632,1.0679
21/01/2017,1.0632,1.0679
22/01/2017,1.0632,1.0679
23/01/2017,1.0715,1.0749
24/01/2017,1.0748,1.0752
25/01/2017,1.0743,1.0741
26/01/2017,1.07,1.0671
27/01/2017,1.0681,1.0705
28/01/2017,1.0681,1.0705
29/01/2017,1.0681,1.0705
30/01/2017,1.063,1.0688
31/01/2017,1.0755,1.081
01/02/2017,1.079,1.0758
02/02/2017,1.0808,1.0806
03/02/2017,1.0741,1.0787
04/02/2017,1.0741,1.0787
05/02/2017,1.0741,1.0787
06/02/2017,1.0712,1.0739
07/02/2017,1.0675,1.0688
08/02/2017,1.0665,1.0707
09/02/2017,1.0692,1.0664
10/02/2017,1.0629,1.0625
11/02/2017,1.0629,1.0625
12/02/2017,1.0629,1.0625
13/02/2017,1.0629,1.0604
14/02/2017,1.0623,1.0563
15/02/2017,1.0555,1.0573
16/02/2017,1.0652,1.0669
17/02/2017,1.065,1.0626
18/02/2017,1.065,1.0626
19/02/2017,1.065,1.0626
20/02/2017,1.0616,1.0621
21/02/2017,1.0537,1.0537
22/02/2017,1.0513,1.0549
23/02/2017,1.0573,1.0593
24/02/2017,1.0609,1.0567
25/02/2017,1.0609,1.0567
26/02/2017,1.0609,1.0567
27/02/2017,1.0587,1.0613
28/02/2017,1.0597,1.0625
01/03/2017,1.0533,1.0555
02/03/2017,1.0514,1.0525
03/03/2017,1.0565,1.0564
04/03/2017,1.0565,1.0564
05/03/2017,1.0565,1.0564
06/03/2017,1.0592,1.0599
07/03/2017,1.0576,1.058
08/03/2017,1.0556,1.0556
09/03/2017,1.0551,1.0581
10/03/2017,1.0606,1.0656
11/03/2017,1.0606,1.0656
12/03/2017,1.0606,1.0656
13/03/2017,1.0663,1.067
14/03/2017,1.0631,1.0645
15/03/2017,1.0622,1.0632
16/03/2017,1.0726,1.0737
17/03/2017,1.0737,1.0742
18/03/2017,1.0737,1.0742
19/03/2017,1.0737,1.0742
20/03/2017,1.0752,1.0753
21/03/2017,1.0802,1.0808
22/03/2017,1.0807,1.0801
23/03/2017,1.0786,1.0787
24/03/2017,1.0805,1.0805
25/03/2017,1.0805,1.0805
26/03/2017,1.0805,1.0805
27/03/2017,1.0889,1.0885
28/03/2017,1.0859,1.0868
29/03/2017,1.0748,1.075
30/03/2017,1.0737,1.0733
31/03/2017,1.0691,1.0695
01/04/2017,1.0691,1.0695
02/04/2017,1.0691,1.0695
03/04/2017,1.0661,1.0653
04/04/2017,1.0651,1.0664
05/04/2017,1.0678,1.0661
06/04/2017,1.0666,1.0658
07/04/2017,1.063,1.0619
08/04/2017,1.063,1.0619
09/04/2017,1.063,1.0619
10/04/2017,1.0578,1.0599
11/04/2017,1.0616,1.0628
12/04/2017,1.0605,1.0619
13/04/2017,1.063,1.0624
14/04/2017,1.063,1.0624
15/04/2017,1.063,1.0624
16/04/2017,1.063,1.0624
17/04/2017,1.063,1.0624
18/04/2017,1.0682,1.0699
19/04/2017,1.0725,1.0714
20/04/2017,1.0745,1.0765
21/04/2017,1.0698,1.0688
22/04/2017,1.0698,1.0688
23/04/2017,1.0698,1.0688
24/04/2017,1.0848,1.0861
25/04/2017,1.0891,1.0928
26/04/2017,1.0893,1.0875
27/04/2017,1.0881,1.0865
28/04/2017,1.093,1.089
29/04/2017,1.093,1.089
30/04/2017,1.093,1.089
01/05/2017,1.093,1.089
02/05/2017,1.0915,1.0905
03/05/2017,1.0919,1.0909
04/05/2017,1.0927,1.0945
05/05/2017,1.0961,1.0985
06/05/2017,1.0961,1.0985
07/05/2017,1.0961,1.0985
08/05/2017,1.0938,1.0931
09/05/2017,1.0888,1.0891
10/05/2017,1.0882,1.0871
11/05/2017,1.086,1.0867
12/05/2017,1.0876,1.0922
13/05/2017,1.0876,1.0922
14/05/2017,1.0876,1.0922
15/05/2017,1.0972,1.0979
16/05/2017,1.1059,1.1083
17/05/2017,1.1117,1.1147
18/05/2017,1.1129,1.1128
19/05/2017,1.1179,1.1196
20/05/2017,1.1179,1.1196
21/05/2017,1.1179,1.1196
22/05/2017,1.1243,1.1247
23/05/2017,1.1215,1.1228
24/05/2017,1.1193,1.1184
25/05/2017,1.1214,1.1213
26/05/2017,1.1196,1.1186
27/05/2017,1.1196,1.1186
28/05/2017,1.1196,1.1186
29/05/2017,1.1188,1.1186
30/05/2017,1.1173,1.1178
31/05/2017,1.1221,1.1246
01/06/2017,1.1219,1.1226
02/06/2017,1.1217,1.1276
03/06/2017,1.1217,1.1276
04/06/2017,1.1217,1.1276
05/06/2017,1.1249,1.1251
06/06/2017,1.1258,1.1268
07/06/2017,1.1217,1.1264
08/06/2017,1.1229,1.1221
09/06/2017,1.1176,1.1184
10/06/2017,1.1176,1.1184
11/06/2017,1.1176,1.1184
12/06/2017,1.1221,1.1203
13/06/2017,1.1217,1.1207
14/06/2017,1.1203,1.128
15/06/2017,1.1166,1.115
16/06/2017,1.1167,1.1199
17/06/2017,1.1167,1.1199
18/06/2017,1.1167,1.1199
19/06/2017,1.1199,1.1167
20/06/2017,1.1156,1.1127
21/06/2017,1.1147,1.1142
22/06/2017,1.1169,1.1157
